12.155, 68.937
-12.155, 68.937
-35.000, 60.622
-53.623, 44.995
-65.778, 23.941
-70.000, -0.000
-65.778, -23.941
-53.623, -44.995
-35.000, -60.622
-12.155, -68.937
12.155, -68.937
35.000, -60.622
53.623, -44.995
65.778, -23.941
70.000, 0.000
65.778, 23.941
86, 45
93.969,  34.202
100.000,  0.000
93.969,  -34.202
76.604,  -64.279
50.000,  -86.603
17.365,  -98.481
-17.365,  -98.481
-50.000,  -86.603
-76.604,  -64.279
-93.969,  -34.202
-100.000,  -0.000
-93.969,  34.202
-76.604,  64.279
-50.000,  86.603
-17.365,  98.481
17.365,  98.481
55, 80
74, 100
110, 100
45,  25
25, 45
36, 57
